SKU,ITEM NAME,CATEGORY,ITEM DESCRIPTION,COMMENT,QTY ON HAND,PAR QTY,UOM,COST PER UNIT,CURRENCY,TOTAL COST IN INVENTORY,LOCATION,SUPPLIER,SUPPLIER-SKU,SUPPLIER2,SUPPLIER2-SKU,QUICKBOOKS CAT,UUID,DATE CREATED,DATE MODIFIED
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
375-QC-BTL-LBL,375ML QC VODKA BOTTLE LABEL,Label (Bottle),,,790,,,0.218,CAD,172.22,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
750-QC-BTL-LBL,750ML QC VODKA BOTTLE LABEL,Label (Bottle),,,2049,,,0.236,CAD,483.564,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
175-QC-BTL-LBL-FR,1.75L QC VODKA BOTTLE LABEL (FRONT),Label (Bottle),,,1230,,,0.236,CAD,290.28,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
175-QC-BTL-LBL-BK,1.75L QC VODKA BOTTLE LABEL (BACK),Label (Bottle),,,1230,,,0.146,CAD,179.58,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
,,,,,,,,,,,,,,,,,,,
375-24-FL-BOX-LBL,375ML X 24 FRENCH LAUNDRY BOX LABEL,Label (Box),,,133,,,0.35,CAD,46.55,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-FL-BOX-LBL,750ML X 12 FRENCH LAUNDRY BOX LABEL,Label (Box),,,290,,,0.35,CAD,101.5,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
114-12-FL-BOX-LBL,1.14L X 12 FRENCH LAUNDRY BOX LABEL,Label (Box),,,90,,,0.35,CAD,31.5,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
175-6-FL-BOX-LBL,1.75L X 6 FRENCH LAUNDRY BOX LABEL,Label (Box),,,180,,,0.35,CAD,63,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
,,,,,,,,,,,,,,,,,,,
375-24-QC-BOX-LBL,375ML X 24 QC VODKA BOX LABEL,Label (Box),,,283,,,0.39,CAD,110.37,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
750-12-QC-BOX-LBL,750ML X 12 QC VODKA BOX LABEL,Label (Box),,,130,,,0.39,CAD,50.7,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
175-6-QC-BOX-LBL,1.75L X 6 QC VODKA BOX LABEL,Label (Box),,,205,,,0.39,CAD,79.95,,FASTPRINT,,,,5095,,Nov 17 2022,Nov 17 2022
